Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.1,1,regula_falsi,-0.9196571554624754,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.05,1,regula_falsi,-0.9196571554624754,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.01,1,regula_falsi,-0.9112037112354391,5,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.005,1,regula_falsi,-0.9097636371994167,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.001,1,regula_falsi,-0.9095191065112924,7,5.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.0001,1,regula_falsi,-0.9094776072059698,8,4.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-05,1,regula_falsi,-0.9094705650233624,9,1.9989999999999999,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-06,1,regula_falsi,-0.9094691672464776,11,3.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.1,2,regula_falsi,-0.9112037112354391,5,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.05,2,regula_falsi,-0.9112037112354391,5,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.01,2,regula_falsi,-0.9097636371994167,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.005,2,regula_falsi,-0.9097636371994167,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.001,2,regula_falsi,-0.9095191065112924,7,3.0010000000000003,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.0001,2,regula_falsi,-0.9094705650233624,9,3.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-05,2,regula_falsi,-0.9094693700264651,10,4.002000000000001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-06,2,regula_falsi,-0.9094691672464776,11,1.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.1,3,regula_falsi,-0.9094691328365941,12,3.0010000000000003,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.05,3,regula_falsi,-0.9094691328365941,12,3.0010000000000003,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.01,3,regula_falsi,-0.9094691269975562,13,2.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.005,3,regula_falsi,-0.9094691260067257,14,4.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.001,3,regula_falsi,-0.9094691260067257,14,5.002000000000001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.0001,3,regula_falsi,-0.9094691258100601,16,2.0010000000000003,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-05,3,regula_falsi,-0.9094691258052187,17,5.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-06,3,regula_falsi,-0.9094691258043971,18,2.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.1,4,regula_falsi,-0.8352208424402294,2,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.05,4,regula_falsi,-0.9196571554624754,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.01,4,regula_falsi,-0.9112037112354391,5,1.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.005,4,regula_falsi,-0.9112037112354391,5,1.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.001,4,regula_falsi,-0.9097636371994167,6,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,0.0001,4,regula_falsi,-0.9095191065112924,7,3.0010000000000003,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-05,4,regula_falsi,-0.9094776072059698,8,2.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,0.5,1e-06,4,regula_falsi,-0.9094693700264651,10,1.0,Yes,Yes
