Function,a,b,Epsilon,Convergence Criterion,Method,Solution,Number of iterations,Time elapsed,Convergence,Precision to analytical met
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,1,regula_falsi,-0.9695402240523532,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,1,regula_falsi,-0.9368340955322271,5,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,1,regula_falsi,-0.9150401225494453,7,4.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,1,regula_falsi,-0.9119737918778347,8,4.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,1,regula_falsi,-0.909974426837367,10,4.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,1,regula_falsi,-0.9095148595368358,13,5.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,1,regula_falsi,-0.9094732642604851,16,4.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,1,regula_falsi,-0.9094695002874968,19,1.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,2,regula_falsi,-0.9150401225494453,7,2.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,2,regula_falsi,-0.9119737918778347,8,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,2,regula_falsi,-0.909974426837367,10,5.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,2,regula_falsi,-0.9096960100763586,11,0.9990000000000001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,2,regula_falsi,-0.9095148595368358,13,4.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,2,regula_falsi,-0.9094732642604851,16,3.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,2,regula_falsi,-0.9094695002874968,19,5.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,2,regula_falsi,-0.9094691596906559,22,1.9989999999999999,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,3,regula_falsi,-0.9094692012835534,21,1.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,3,regula_falsi,-0.9094691596906559,22,5.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,3,regula_falsi,-0.9094691326342386,24,2.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,3,regula_falsi,-0.9094691288705605,25,3.0010000000000003,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,3,regula_falsi,-0.9094691264222663,27,0.9990000000000001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,3,regula_falsi,-0.9094691258601547,30,1.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,3,regula_falsi,-0.9094691258092898,33,2.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,3,regula_falsi,-0.9094691258046871,36,4.002000000000001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.1,4,regula_falsi,-0.9695402240523532,4,0.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.05,4,regula_falsi,-0.9368340955322271,5,1.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.01,4,regula_falsi,-0.9150401225494453,7,4.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.005,4,regula_falsi,-0.9119737918778347,8,3.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.001,4,regula_falsi,-0.909974426837367,10,5.0,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,0.0001,4,regula_falsi,-0.9095148595368358,13,4.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-05,4,regula_falsi,-0.9094783438652166,15,1.001,Yes,Yes
1 / (x ** 2) - 1 / (x ** 3) + 1 / (x ** 4) - 4,-2,-0.7,1e-06,4,regula_falsi,-0.909469959935807,18,3.0,Yes,Yes
